name,description,category,organization,country,location,notes_location,start_date,end_date,notes_duration,data_accessibility,accessibility_for_research,project_information_url,data_url
Duik in historisch Amsterdam,Citizens describe photos of monuments in Amsterdam so they can be digitalized. ,History,Stadsarchief Amsterdam and Monumenten en Archeologie (MA),The Netherlands,,,2014.0,2017,,No direct download,No,https://www.iedereenwetenschapper.be/projects/duik-historisch-amsterdam,-
Waarvan Akte!,Citizens transcribe notary deeds from notaries from the Rivierengebied between 1811 and 1935. ,History,Regionaal Archief Rivierenland,The Netherlands,,,2020.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/rar_index_repertoria,-
Extra serie Amersfoortse bevolkingsregisters online,Citizens help index scans of population registers from Amersfoort between 1860 and 1915.,History,Archief Eemland,The Netherlands,,,2017.0,2019,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/gam_gezinskaarten,https://www.archiefeemland.nl/
Bevolkingsregisters Amsterdam 1864 - 1874,Citizens help index scans of population registers from Amsterdam between 1864 and 1874.,History,Stadsarchief Amsterdam,The Netherlands,,,2018.0,2020,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/amsterdam_index_bvr3,"https://archief.amsterdam/indexen/persons?f=%7B%22search_i_datum%22:%7B%22v%22:%5B%2218640000%22,%2218749999%22%5D,%22d%22:%221864%20-%201874%22%7D%7D"
Fotografisch Geheugen: de reportages van Fotopersbureau De Boer,Citizens link the photos on a camera roll sorted by subject to the descriptions provided by the photographers that made the photos. ,History,Noord-Hollands Archief,The Netherlands,,,2020.0,ongoing,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/project/ranh_tagselection_deboer,https://noord-hollandsarchief.nl/beelden/beeldbank/?fq%5B%5D=search_s_afbeelding:%22Ja%22&mode=gallery&view=horizontal&sort=random%7B1612191303970%7D%20asc
Alumni KABK,Citizens help digitalize scans of cards containing the alumni and teachers of the KABK. ,History,Koninklijke Academie van Beeldende Kunsten,The Netherlands,,,2012.0,2013,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/3/project/kabk,https://www.kabk.nl/alumni/bachelor-beeldende-kunst
Meertens-vragenlijsten Taal en Cultuur (1931 - 2005),Citizens retype written answers to surveys. ,History,Meertens Instituut,The Netherlands,,,2018.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/mei,-
Bevolkingsregisters Amsterdam 1874 - 1893 ,Citizens help index scans of population registers from Amsterdam between 1874 and 1893.,History,Stadsarchief Amsterdam,The Netherlands,,,2012.0,2016,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/amsterdam_bvr,"https://archief.amsterdam/indexen/persons?f=%7B%22search_i_datum%22:%7B%22v%22:%5B%2218740000%22,%2218939999%22%5D,%22d%22:%221874%20-%201893%22%7D%7D"
Maak geschiedenis: Zet Groningen op de kaart,Citizens do georeferencing by placing old maps of Groningen over existing ones to determine their placement. ,History,De Groninger Archieven ,The Netherlands,,,2017.0,2019,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/gra_kaarten,https://www.beeldbankgroningen.nl/beelden/?mode=gallery&view=horizontal&sort=random%7B1541835054895%7D%20asc&page=1&fq%5B%5D=search_t_gegeorefereerd:%22ja%22&reverse=0&filterAction
Notaris van toen zoekt transcribent van nu,Citizens transcribe notary deeds from 19th and 20th century notaries from Tilburg. ,History,Regionaal Archief Tilbrug,The Netherlands,,,2017.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/tlb_index,-
Volgende Patiënt!,Citizens help index patient registers from hospitals in Amsterdam between 1818 and 1899. ,History,Stadsarchief Amsterdam,The Netherlands,,,2014.0,2016,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/amsterdam_patient,https://archief.amsterdam/uitleg/indexen/42-patientenregisters-1818-1899?utm_source=OpenArchieven&utm_medium=browser&utm_campaign=OpenData
Ja -  ik wil!,Citizens help digitalize registered banns from Amsterdam between 1602 and 1811. ,History,Utrecht University,The Netherlands,,,2014.0,2016,,Probably viewable,Unsure,https://velehanden.nl/projecten/bekijk/details/project/ja_ik_wil,-
Verlos Gelderse Geboorteakten,Citizens help index birth certificates from Gelderland between 1819 and 1912. ,History,Gelders Archief,The Netherlands,,,2015.0,2016,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/gda,https://www.geldersarchief.nl/bronnen/archieven/?mivast=37&miadt=37&mizig=128&miview=tbl&milang=nl&micols=1&misort=last_mod%7Cdesc&mib1=113
Holland Amerika Lijn Passagierslijsten,Citizens help index scans of repatriation lists of the people that were emigrated using the Holland Amerika Lijn between 1900 and 1969.,History,Stadsarchief Rotterdam,The Netherlands,,,2018.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/cbg_index_hal,-
Captions for Cas,Citizens caption photos made by Cas Oorthuys between 1935 and 1975. ,History,Nederlands Fotomuseum,The Netherlands,,,2018.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/nfm_tagging_photos,-
80.000 minuten,Citizens transcribe notary deeds from notaries from Leiden between 1564 and 1811. ,History,Regionaal Archief Leiden,The Netherlands,,,2014.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/leiden_na1,-
Militieregisters 1814 - 1941,Citizens help index scans of the people that once were registered with the military from the period from 1814 up until 1941.,History,"Archief Delft, Archief Eemland, Historisch Informatie Centrum,  Gemeentearchief Barneveld, Gemeentearchief Ede, Gemeentearchief Waalwijk, Het Markiezenhof, Het Utrechts Archief, Noord-Hollands Archief, Regionaal Archief Nijmegen, Regionaal Archief Zutphen, Stadsarchief ‚Äôs-Hertogenbosch, Stadsarchief Amsterdam, Streekarchief Land van Heusden en Altena, Streekarchief Voorne-Putten en Rozenburg and Tresoar (Friesland)",The Netherlands,,,2011.0,2014,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/3/project/militieregisters,https://www.openarch.nl/indexen/9/militieregisters?lang=nl
